ext_id,customer_id
R53558116,453193.0
R52656594,721173.0
R57910617,627485.0
R51255477,523358.0
R53369369,477749.0
R59174144,857460.0
R54617648,181366.0
R51803834,307915.0
R54169334,247961.0
R52175178,813744.0
R53328298,574905.0
R52300709,125922.0
R52172793,660005.0
R51987265,305198.0
R54535027,826999.0
R57653157,653983.0
R56351614,403195.0
R55095175,643284.0
R51779324,642098.0
R59742194,606661.0
R53621456,486929.0
R55874231,107507.0
R55245427,713083.0
R57846932,115906.0
R53270686,317791.0
R53089238,710857.0
R53612462,378485.0
R56274932,512547.0
R58122102,336472.0
R59379154,224964.0
R53898733,670569.0
R55240590,297407.0
R58395902,468928.0
R57570670,238813.0
R59528257,507248.0
R51552715,255869.0
R54140121,243671.0
R53095914,280852.0
R53043809,379859.0
R59787690,445324.0
R51307860,144134.0
R57243328,574558.0
R52111292,148292.0
R54151557,308474.0
R56343655,594659.0
R59845245,490792.0
R52980794,449093.0
R54658853,614893.0
R51172176,721289.0
R53351468,342784.0
R59291026,357460.0
R52656182,487835.0
R53651426,855302.0
R52252081,439400.0
R51701195,385520.0
R53912497,889473.0
R54258698,338690.0
R58623469,850982.0
R57982807,871190.0
R53309640,879581.0
R53143517,333528.0
R57668817,645982.0
R51212768,281312.0
R58597579,713157.0
R53308414,233232.0
R55975644,856846.0
R53242823,206130.0
R51521184,195111.0
R59999443,387691.0
R55088633,703427.0
R57700971,809676.0
R55397585,262464.0
R57442620,802535.0
R54895605,342883.0
R54371634,718495.0
R54472846,123889.0
R53485102,487156.0
R54593875,865271.0
R59740824,756633.0
R59057061,415925.0
R56570465,538748.0
R56587696,540650.0
R51884482,630420.0
R57445216,182642.0
R59163512,486407.0
R51224492,484024.0
R51879645,816711.0
R59945643,477676.0
R58700841,559243.0
R52090038,583781.0
R52340152,459933.0
R51174695,666446.0
R52180906,667169.0
R58850959,839577.0
R59025731,482565.0
R55856866,746921.0
R58788165,643057.0
R56280506,753392.0
R55779015,194183.0
R51080983,630918.0
R54991578,318602.0
R51242537,338882.0
R58402099,655299.0
R54002876,403157.0
R54590331,881233.0
R58677346,142334.0
R58589131,288086.0
R53575270,764789.0
R56699664,440443.0
R54404736,338857.0
R51305475,149754.0
R56398279,715952.0
R53534611,515821.0
R51338644,102592.0
R56545533,308471.0
R55413935,718649.0
R53806103,601093.0
R51237834,396418.0
R53173142,804709.0
R59825428,689850.0
R52661153,100367.0
R58939432,610243.0
R54065613,195296.0
R52420177,739010.0
R54079434,580817.0
R54809785,106516.0
R55707495,429288.0
R56710162,319931.0
R54646593,206271.0
R53347234,499368.0
R56754221,226887.0
R55485522,610984.0
R59252273,725893.0
R59173799,197069.0
R58699270,710795.0
R51717957,867717.0
R58462116,467552.0
R58310360,776014.0
R58314105,873106.0
R59796550,750409.0
R56073858,647206.0
R54361816,511866.0
R54886142,897206.0
R59790142,359365.0
R58556451,105435.0
R57892150,658836.0
R55944458,487987.0
R52716256,273326.0
R59051132,446075.0
R51918676,195005.0
R55176905,685786.0
R54009552,579104.0
R51364457,113708.0
R53678666,682470.0
R55872526,172847.0
R59034725,649276.0
R52619134,871513.0
R59511026,746358.0
R56576049,688541.0
R53109936,640881.0
R59638051,244198.0
R58482000,512440.0
R55398878,662931.0
R59625513,659222.0
R52583570,719696.0
R56308158,636005.0
R55507178,293161.0
R57118008,116779.0
R58960542,455102.0
R56354210,131299.0
R56086128,896103.0
R58049902,424813.0
R53916031,728547.0
R55223148,149020.0
R55142711,432041.0
R54370743,620167.0
R53768509,106137.0
R51921674,861059.0
R59637438,765151.0
R55180238,748221.0
R55993488,851154.0
R54483813,825224.0
R56907883,411288.0
R57018568,273448.0
R55666347,774361.0
R56544709,741521.0
R55239776,708886.0
R58767524,355850.0
R56455288,303783.0
R58769229,553596.0
R56247136,502246.0
R55708376,297653.0
R52320057,392294.0
R56498945,625583.0
R58664128,206773.0
R58408296,885731.0
R51382914,370048.0
R58676120,639193.0
R58869272,157688.0
R53800998,231774.0
R57673252,173351.0
R59970843,137704.0
R56378385,640547.0
R58832770,147340.0
R56491177,697492.0
R56252107,429626.0
R55622700,108482.0
R51653927,147888.0
R57648665,672613.0
R59979894,684243.0
R51660057,391960.0
R58650029,297156.0
R57899995,571807.0
R59697713,388432.0
R52050069,105026.0
R55591561,861800.0
R57931995,131635.0
R55376542,572216.0
R52702090,678550.0
R51048628,105699.0
R58005699,759688.0
R57346389,525324.0
R59031583,431902.0
R56494922,526209.0
R56959040,723771.0
R59737903,761593.0
R56476398,561304.0
R56675422,806943.0
R53957380,736028.0
R51431341,547870.0
R52491151,284015.0
R59651872,897165.0
R54996817,712014.0
R54325046,376146.0
R54623433,800600.0
R51512525,755785.0
R57021010,613947.0
R56710152,728040.0
R57093967,716796.0
R51881072,893894.0
R55848073,373336.0
R55298547,869987.0
R58496434,272108.0
R56839438,223323.0
R58799055,776533.0
R54051782,462199.0
R57416874,222526.0
R53490063,117827.0
R51265352,336732.0
R51930112,155242.0
R52466430,626034.0
R57508834,127935.0
R52351933,508028.0
R53185412,216309.0
R53930542,218626.0
R55291804,366422.0
R58039146,319838.0
R59878615,112882.0
R51994956,315577.0
R55915982,277128.0
R58945284,168858.0
R56114383,683187.0
R52006613,263298.0
R57302454,159573.0
R54202647,205987.0
R51037728,557112.0
R51872155,714020.0
R52161692,544288.0
R58982620,527765.0
R53635689,613941.0
R53632892,513572.0
R57535260,175199.0
R54271983,147414.0
R54492864,140026.0
R59816702,397948.0
R56647837,412089.0
R52965412,133834.0
R56662683,883743.0
R58487316,831380.0
R52126617,622405.0
R59751322,858990.0
R53412892,680072.0
R53845603,513037.0
R58392636,816336.0
R54956024,848421.0
R51371545,263535.0
R56716560,742438.0
R57473203,889303.0
R52207332,249158.0
R56575503,407475.0
R51658975,186136.0
R52027790,246091.0
R56948063,836809.0
R59254035,225482.0
R54600484,149726.0
R51995100,121771.0
R52496946,895724.0
R55685762,792189.0
R51199828,173824.0
R54747604,654669.0
R58160041,605619.0
R51912546,368872.0
R57677131,870443.0
R56373012,283650.0
R52849210,290106.0
R57182239,472830.0
R52280346,482799.0
R55639241,325863.0
R56499826,703775.0
R57168475,592997.0
R56552688,547314.0
R59097184,829307.0
R57627880,704629.0
R58729384,509997.0
R57393044,849797.0
R54060086,598082.0
R54830905,676374.0
R53398257,567942.0
R57260090,458728.0
R58562715,701192.0
R51295121,851480.0
R51523224,544657.0
R55878043,125793.0
R55004039,775061.0
R56138223,743335.0
R52166663,335872.0
R58817033,680885.0
R56090275,301571.0
R59478671,681510.0
R55106889,122849.0
R56666428,460425.0
R59094176,151626.0
R55390363,281193.0
R59353542,273298.0
R57687619,387631.0
R59464026,525468.0
R51332169,121855.0
R57195246,668199.0
R56394936,653342.0
R57366618,612695.0
R57456863,754702.0
R58277124,226563.0
R53415622,159007.0
R54176623,581462.0
R56565561,771503.0
R53775587,664964.0
R53973318,165625.0
R51269844,447348.0
R56964825,555675.0
R54713544,864054.0
R53223073,457221.0
R55821714,533950.0
R57116581,522272.0
R53993403,515610.0
R59203702,247991.0
R56629236,720109.0
R51478063,798746.0
R51590175,209070.0
R58891886,230933.0
R53849281,628791.0
R58027355,159822.0
R57248778,286820.0
R59339721,450977.0
R56897807,488168.0
R52804250,892008.0
R52296016,648880.0
R59472742,513700.0
R51265285,574087.0
R58305121,765852.0
R56784670,738110.0
R54205779,328606.0
R58976892,634155.0
R53692966,105034.0
R51637175,122354.0
R52829872,173027.0
R52136502,865499.0
R52439994,163153.0
R57764991,148574.0
R56719826,816796.0
R52589509,441938.0
R58566862,145950.0
R52057013,857535.0
R57874306,571950.0
R54540276,452813.0
R52034054,193438.0
R57215954,853723.0
R58125512,417188.0
R54127727,469001.0
R52470587,786304.0
R54437828,672755.0
R56681341,440473.0
R59565717,452791.0
R57349310,542939.0
R54417944,649485.0
R52856355,701112.0
R52834977,496169.0
R56833509,813748.0
R51184982,379280.0
R55950109,510891.0
R51102160,143301.0
R56820626,439297.0
R59891153,753613.0
R51172387,307498.0
R57686326,238202.0
R54863662,767733.0
R57616923,451810.0
R55490560,437744.0
R51856083,630597.0
R58883314,600980.0
R54027051,313746.0
R55137472,318646.0
R57597575,561805.0
R55145163,679501.0
R58044107,504612.0
R59412323,263774.0
R57082588,196196.0
R55894383,895085.0
R56689310,309236.0
R57003789,589776.0
R57090969,742844.0
R57107386,496309.0
R54763609,849601.0
R59376913,821429.0
R58514010,612207.0
R53058511,414229.0
R59793954,575074.0
R55304074,582436.0
R56730046,207798.0
R54739769,290084.0
R51921195,812044.0
R52624440,635904.0
R59605016,523737.0
R58672375,725326.0
R54964807,340631.0
R56349028,849388.0
R53773135,275531.0
R55952427,302177.0
R55332473,197251.0
R59407285,234253.0
R56116222,562135.0
R59572316,761696.0
R57240340,296428.0
R57545748,336415.0
R55210352,469660.0
R51156104,829197.0
R59683614,346496.0
R57163025,323678.0
R51708762,126898.0
R54715460,744194.0
R58787820,427463.0
R58612971,815316.0
R51040113,251711.0
R52468403,615315.0
R55245360,102328.0
R54685758,598698.0
R54694685,741663.0
R53067304,726692.0
R54463641,688606.0
R51866839,588315.0
R57035454,897463.0
R55204701,496956.0
R52279599,628341.0
R52289407,131534.0
R59155553,112738.0
R54115390,868453.0
R55600622,215323.0
R53417461,127749.0
R51042977,698405.0
R58767591,430172.0
R51793289,366613.0
R53103337,486763.0
R54309098,621812.0
R53685744,719552.0
R54667780,127384.0
R51615720,366439.0
R52656517,746744.0
R51306356,836014.0
R56628154,478218.0
R59225904,550916.0
R53962284,303758.0
R55626502,341419.0
R56444800,405022.0
R59214535,255191.0
R58751988,476787.0
R54400311,757568.0
R59497741,541449.0
R55407326,143858.0
R59316082,257723.0
R54687932,592201.0
R54724578,607903.0
R58510054,467201.0
R55947992,686226.0
R55674661,464341.0
R57408426,706264.0
R59581377,133123.0
R59243078,164612.0
R54553695,389530.0
R51847223,427572.0
R59600524,707060.0
R57522588,739216.0
R52406145,839842.0
R52303851,500823.0
R52007772,627621.0
R57411357,243024.0
R54676295,113515.0
R51675660,862848.0
R53045571,701803.0
R51974670,816534.0
R54008671,760206.0
R53042650,131417.0
R59250635,676087.0
R55564187,413988.0
R53744257,742772.0
R54942739,260572.0
R56149870,338465.0
R55555327,810370.0
R54843088,380764.0
R58500524,388156.0
R52320526,635050.0
R54687942,294858.0
R53342330,818367.0
R57785431,800143.0
R59293746,875368.0
R59080077,348453.0
R59321542,583041.0
R54589249,579621.0
R58072449,519785.0
R56998406,879137.0
R58022384,874932.0
R57345230,559416.0
R55630602,475225.0
R59377995,228506.0
R57691699,543367.0
R56465086,164815.0
R57153763,559492.0
R54675471,123079.0
R57268538,712780.0
R53760530,231004.0
R55880294,146329.0
R51392933,690422.0
R51892528,570058.0
R51597186,176829.0
R51673208,426240.0
R59061486,116159.0
R55076239,494247.0
R51085398,295647.0
R51704126,200321.0
R53287907,613773.0
R57081975,121867.0
R58574563,890493.0
R57795172,468376.0
R51234635,535959.0
R53928224,172855.0
R58053580,420228.0
R53020103,829793.0
R55958624,150491.0
R56237539,251779.0
R54955277,324568.0
R58368260,867325.0
R53733769,656341.0
R51379236,351608.0
R58087094,564032.0
R55575489,429882.0
R53575280,444356.0
R58503723,109573.0
R54221315,572685.0
R54563972,731541.0
R57824519,157728.0
R51733483,685726.0
R56074136,852300.0
R54602725,170942.0
R51516280,504075.0
R55617451,647825.0
R55202929,765661.0
R58943934,595898.0
R51827272,817345.0
R57418378,133191.0
R56857138,425680.0
R58386573,490534.0
R58708264,142932.0
R58660718,145787.0
R53374149,234498.0
R59271400,630376.0
R53245486,119604.0
R57819146,268204.0
R53522964,408076.0
R57378389,133355.0
R55845899,525000.0
R59939513,182058.0
R55283567,779833.0
R54442598,249665.0
R51000469,881296.0
R59524847,785305.0
R57878463,137120.0
R53657968,253559.0
R54834171,687752.0
R54968696,760293.0
R51178239,200952.0
R52593589,193695.0
R58119382,443351.0
R55687678,425714.0
R56387724,111562.0
R58344688,209404.0
R52973036,887420.0
