session_id,name,label,match_date,start_at,end_at,is_away,venue_id,venue_name,venue_capacity,competition_id,competition_name
1000,PBB - Virtus Bologna,J03 PBB - Virtus Bologna,2025-10-09,2025-10-09 18:45:00.127,2025-10-09 21:00:00.694,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1001,PBB - Monaco,J03 PBB - Monaco,2025-10-12,2025-10-12 15:00:00.907,2025-10-12 17:15:00.504,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1002,PBB - Kosner Baskonia Vitoria-Gasteiz,J04 PBB - Kosner Baskonia Vitoria-Gasteiz,2025-10-15,2025-10-15 18:45:00.093,2025-10-15 21:00:00.475,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1003,PBB - Hapoel Shlomo Tel Aviv,J05 PBB - Hapoel Shlomo Tel Aviv,2025-10-17,2025-10-17 18:45:00.593,2025-10-17 21:00:00.720,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1004,PBB - Dijon,J04 PBB - Dijon,2025-10-19,2025-10-19 12:30:00.927,2025-10-19 14:45:00.641,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1005,PBB - Anadolu Efes Istanbul,J07 PBB - Anadolu Efes Istanbul,2025-10-28,2025-10-28 18:45:00.222,2025-10-28 21:00:00.824,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1006,PBB - FC Bayern Munich,J09 PBB - FC Bayern Munich,2025-11-06,2025-11-06 20:00:00.278,2025-11-06 22:15:00.540,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1007,PBB - Limoges,J07 PBB - Limoges,2025-11-09,2025-11-09 17:00:00.124,2025-11-09 19:15:00.991,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1008,PBB - Panathinaikos AKTOR Athens,J10 PBB - Panathinaikos AKTOR Athens,2025-11-11,2025-11-11 20:00:00.580,2025-11-11 22:15:00.724,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1009,PBB - Valencia Basket,J11 PBB - Valencia Basket,2025-11-13,2025-11-13 19:45:00.299,2025-11-13 22:00:00.890,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1010,PBB - Saint-Quentin,J10 PBB - Saint-Quentin,2025-12-07,2025-12-07 17:00:00.135,2025-12-07 19:15:00.315,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1011,PBB - Le Portel,J09 PBB - Le Portel,2025-12-09,2025-12-09 19:00:00.951,2025-12-09 21:15:00.962,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1012,PBB - Zalgiris Kaunas,J15 PBB - Zalgiris Kaunas,2025-12-11,2025-12-11 19:45:00.816,2025-12-11 22:00:00.739,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1013,PBB - FC Barcelona,J16 PBB - FC Barcelona,2025-12-16,2025-12-16 20:00:00.814,2025-12-16 22:15:00.470,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1014,PBB - Cholet,J12 PBB - Cholet,2025-12-21,2025-12-21 17:00:00.732,2025-12-21 19:15:00.314,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1015,PBB - Crvena Zvezda Meridianbet Belgrade,J18 PBB - Crvena Zvezda Meridianbet Belgrade,2025-12-23,2025-12-23 19:45:00.128,2025-12-23 22:00:00.436,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1016,PBB - Strasbourg,J13 PBB - Strasbourg,2026-01-13,2026-01-13 19:10:00.612,2026-01-13 21:25:00.298,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1017,PBB - AS Monaco,J22 PBB - AS Monaco,2026-01-15,2026-01-15 19:45:00.008,2026-01-15 22:00:00.327,False,2,ACCOR ARENA,15000,2,COUPE EUROPEENNE
1018,PBB - Le Mans,J16 PBB - Le Mans,2026-01-18,2026-01-18 17:00:00.018,2026-01-18 19:15:00.173,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1019,PBB - Dubai Basketball,J24 PBB - Dubai Basketball,2026-01-22,2026-01-22 20:00:00.071,2026-01-22 22:15:00.385,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
1020,PBB - Real Madrid,J25 PBB - Real Madrid,2026-01-27,2026-01-27 20:00:00.957,2026-01-27 22:15:00.492,False,2,ACCOR ARENA,15000,2,COUPE EUROPEENNE
1021,PBB - Boulazac,J18 PBB - Boulazac,2026-02-01,2026-02-01 14:30:00.283,2026-02-01 16:45:00.252,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1022,PBB - Fenerbahce Beko Istanbul,J27 PBB - Fenerbahce Beko Istanbul,2026-02-05,2026-02-05 19:45:00.417,2026-02-05 22:00:00.882,False,2,ACCOR ARENA,15000,2,COUPE EUROPEENNE
1023,PBB - Nancy,J19 PBB - Nancy,2026-02-07,2026-02-07 18:30:00.151,2026-02-07 20:45:00.566,False,1,ADIDAS ARENA,8000,1,CHAMPIONNAT NATIONAL
1024,PBB - Olympiacos Piraeus,J34 PBB - Olympiacos Piraeus,2026-03-10,2026-03-10 19:45:00.292,2026-03-10 22:00:00.163,False,2,ACCOR ARENA,15000,2,COUPE EUROPEENNE
1025,PBB - LDLC ASVEL Villeurbanne,J31 PBB - LDLC ASVEL Villeurbanne,2026-03-12,2026-03-12 20:00:00.752,2026-03-12 22:15:00.928,False,1,ADIDAS ARENA,8000,2,COUPE EUROPEENNE
